ID;Question;Answer from 2023;Explanation from 2023;Confirm, change or complement answer/explanation from 2023;Provide updated answer (if applicable);Provide updated explanation (if applicable)
P1;"Is there a national open data policy in your country and, if your country is an EU Member State, does this include a national legislation for the transposition of the Open Data Directive?

For Explanation:
* If yes, please provide (1) the URL and (2) title of the policy document and (3) briefly describe.
* If ‘other’, please provide (1) a brief explanation to support your answer choice and (2) provide the URL and indicate the policy section which explicitly references open data.";yes;"https://ogp.gov.al/en/faqe/misioni-legjislacioni

Please refer to the link: https://ogp.gov.al/en/faqe/legjislacioni                                                    l
LAW No. 33/2022 ON OPEN DATA AND PUBLIC SECTOR INFORMATION REUSE. This law aims to create the legal basis for promoting the use of open data in the Republic of Albania with the aim of promoting innovation in the provision of products and services. This law is partially aligned with: directive (EU)
2019/1024 of the European Parliament and of the Council, dated 20
June 2019, ""On open data and reuse of
public sector information"", number CELEX 32019L1024,
Official Journal of the European Union, series L, no. 172, date
26.6.2019, p. 56–83. Official Journal Year 2022 – Number 65 Page|8458                                                                                                                     The object of this law is to define the rules and procedures for the right to reuse open data for profit or non-profit purposes of documents held by public bodies or public enterprises in the Republic of Albania .";Confirm;;
P2;"Is there a national open data strategy in your country?

For Explanation:
* If yes, please provide (1) the URL to the strategy and (2) describe the main highlights.  
* If 'not applicable', please provide (1) a brief explanation to support your answer choice and provide (2) the URL and indicate the policy section which explicitly references objectives, actions/measures, delivery timelines etc.";yes;"`===Update===
Promote technology use by governments and citizens.
5.Continuous Commitment and Reporting:
Recognize open government as an ongoing process.
Publicly report actions and consult with citizens.
Adapt commitments to changing circumstances.
6.Global Leadership and Cooperation:
Lead by example in open government principles.
Share best practices and expertise.
Foster a global culture of open government.
Advance openness through international engagement.
=== ORIGINAL ====
https://ogp.gov.al/en/faqe/misioni-strategjia - The OGP's vision in Albania is for the government to become more stable, transparent and accountable to their citizens, with the ultimate goal of improving the quality of governance and the quality of the services the citizens receive. This will require a change in norms and culture to ensure sincere dialogue and cooperation between governments and civil society.

OGP aims to support the government and civil society reformers by raising the open government at the highest levels of political discourse, providing 'overlay' for difficult reforms and creating a supportive community of reformers of a similar mind from countries around the world .

Now that OGP has been established and has grown significantly, our main objective in the next two years is to make sure that real change takes place on the ground in most OGP countries and that this change is benefiting the citizens. There are three main ways for OGPs to help secure the right conditions for countries to provide ambitious open government reform:

1) Maintain high-level political leadership and OGP engagement among participating countries

2) Support internal reforms with technical expertise and inspiration

3) Encourage greater OGP engagement from a diverse group of citizens and civil society organizations

In addition, the OGP Independent Reporting Mechanism requires:

4) Ensure that countries are held accountable to make progress towards achieving their commitments to OGP";Confirm;;
P3;"Is there an open data policy/strategy at regional or local level?

For Explanation:
* If yes, please (1) provide the URL and (2) title of the document(s) and (3) briefly describe.";No;;Change;No;"Albania has an open data policy at the national level, approved by law no. 33/2022 ""On open data and reuse of public sector information. This law is partially aligned with directive (EU) 2019/1024 of the European Parliament and of the Council, dated June 20, 2019, ""On open data and reuse of public sector information"".
The law entered into force on April 30, 2023.
This law defines the rules and procedures for the right to reuse open data for profit or non-profit purposes of documents held by public sector bodies or public enterprises in the Republic of Albania.                                               https://qbz.gov.al/eli/ligj/2022/03/31/33/e24acf1b-16c2-4fbb-8a8a-b2e26fc2ca94;q=33%2F2022"
P4;"Does the national strategy/policy include an action plan with measures to be implemented in the open data field?

For Explanation:
If yes, please briefly describe the main measures described by the action plan.";yes;"the 2023-2025 National Action Plan for the implementation of the Open Government Partnership aims to develop new commitments in areas such as:
● anti-corruption & beneficial owners;
● access to justice;
● digital transformation and innovation;
● fiscal transparency;
● public services;
● inclusiveness;
● the right to information, consultation and regulatory impact assessment;
● open parliament.                                                                                                                                                                                                                            
 Anti-corruption. Awareness and education for anti-corruption mechanisms are two areas provided in the Cross-Cutting Strategy Anti-Corruption, 2015-2023 and its action plans. Specifically, measures are provided in the function of raising awareness and education of the general public on the consequences of corruption, promoting the public and increasing confidence in anti -corruption mechanisms, as well as increasing civil society involvement in these initiatives. The measures provided in the ISAC 2015-2020 and the Action Plan in force of 2020-2023 have influenced the creation of a climate of cooperation between the public and public institutions. Qualitative and efficient mechanisms for prevention and awareness of corruption have been created, there is good cooperation but more frequency is required.
The Ministry of Justice has a communication and visibility strategy, and an annual action plan with activities and initiatives with CSOs and interest groups. Annual, regular editions of the Week of Integrity since 2020, a close collaboration with business, the CSO and the Academy are good evidence but also to be replicated throughout the year. Continuing work by intensifying efforts to raise public awareness and education will create appropriate conditions for a society aware of the danger of corruption and with high confidence in public institutions, improving the public perception of corruption, not only by Local and regional and international organizations such as Transparency International.                                                                                                                                                                                                            Access to Justice: This component has found wide scope by being materialized and strongly related to the
implementation of the justice reform, the Crosscutting Justice Strategy (CSJS), the Crosscutting Strategy for Juvenile Justice (CSJJ), the Strategy for Public Legal Education(SPLE), and other measures taken by the Government in fulfillment of its mission
for an open, transparent and accountable governance/policy. With the initiation of the Justice Reform, a deep reform that is affecting in its entirety every element of the current justice system, a reformation of the legal aid system was also initiated, offering a new spirit, in sync with the requirements and legislation of the European Union and as a facilitating mechanism used to increase access to justice for groups who do not have the financial means to pay legal fees to the bodies/courts and at the same time to enable legal
counseling or protection. Free legal aid programs aim to bring the justice system closer to the needs of citizens. For this reason, this component is focused on providing effective but also accessible and affordable legal remedies for solving problems.                                          Fiscal Transparency: The public finance management reform continues to be a priority of the Albanian government not only as one of the preconditions for accession to the European Union under public administration reform (PAR), but also as part of the Open Government Partnership aims at supporting a more developed economy with better services to citizens. Satisfactory progress in the implementation of reforms to improve public financial management. Referring to the 2021 SIGMA monitoring report1, the overall trajectory for Albania in PFM is upwards, from 2.8 in 2017 to 3.3 in 2021, and is above the regional average of 3.1. Compared to the regional average, performance is similar or stronger in each indicator in the PFM domain, except for the functioning of internal audit (IA). Most pronounced is the strong performance in the domains of public procurement and the foundations for the functioning of Financial Management Control (FMC), IA and external audit.                                                                                                                                        PROMOTION OF DIGITAL TRANSFORMATION AND INNOVATION: E-Albania acts as a front-end point for government institutions to deliver their services, thusoperating as a one stop single access point to citizens on obtaining online government services,
as well as information on public services 24/7. By offering more than 1200 electronic services, the portal has improved the accessibility of information about public services, the level of public awareness about the procedures of public service delivery, and has most importantly acted as a robust catalyst in decreasing queues in public agencies’ receptions, reducing
corruption and bureaucracy, providing citizen equality, decreasing service obtainment time and promoting government transparency.
All of 1227 e-services offered on the portal are dedicated to a wide range of users, from unemployed citizens, drivers, property owners, pupils, the elderly, Albanians living abroad, businesses, civic employees etc. These services are also classified in categories (health,
economy, education, etc.) and are also searchable through the search bar.
===ORIGINAL====
The OGP 2023-2025 Action Plan consists of 4 components:
•	Component I: Anticorruption: innovating new solutions and ensuring compliance with international norms
•	Component II: Digital Governance
•	Component III: Access to justice. Access to justice is defined as the ability of people to seek and obtain a remedy through formal or informal institutions of justice for grievances
•	Component IV: Fiscal - Transaparency; Openness across the budget and fiscal cycle";Confirm;;
P5;"Does the national strategy/policy outline measures to incentivise the publication of and access to real-time or dynamic data?

For Explanation:
* If yes, please briefly describe the measures.";No;"The policy measures some categories of information to be made public by public authorities.

 Milestone 1: Increasing the number of datasets accessible through the open data portal.Our main goal is to have a lot of different data available on our open data portal. We're finding and sharing all sorts of information about different things. This helps many people, like researchers, government workers, business owners, and regular people, find the information they need. We're teaming up with different parts of the government and organizations to make sure we're always getting new and useful data. By doing this, we want our portal to be the best place to find lots of different information.
Milestone 2: Raising awareness and promoting usage through multiple communication channels.At the same time, we know that having data available is important, but it's also important that people know about it and know how to use it. We're using many different ways to tell people about the data we have. We're using social media, online classes, workshops, and information campaigns to reach different groups of people. We want everyone to know what they can do with the data we share and how it can help them. We also want people to tell us what they think so we can make the data even better.
In short, we're taking these two steps to make sure more people can get data easily and use it to make informed decisions. We want to help create a world where everyone can understand and use important information.";Change;Yes;"Law no. 33/2022 ""On open data and the reuse of public sector information"" in Chapter III ""Conditions for reuse"", article 9 ""Format of documents"" point 4 and 5 determines that:
 4. Public sector bodies and public enterprises shall, as far as technically possible, make the data available for re-use immediately after collection, through appropriate API interfaces, in dynamic form or, where appropriate, as a single download voluminous (bulk download).

5. In cases where the provision of dynamic data for reuse by the public sector body, according to the definition of point 4 of this article, is not possible for technical or financial reasons, these dynamic data become available for reuse within the deadline defined in Article 8 of this law. (Article 8 Handling the request)."
P6;"Does the national strategy/policy outline measures to incentivise the publication of and access to citizen-generated data?

For Explanation:
* If yes, please briefly describe the measures.";No;"Open data on the usage of the e-Albania Governmental Portal (https://opendata.gov.al - category of ""e-Albania"")

The statistics come from the e-Albania portal which is the e-Gov portal for the provision of public services electronically. In Albania, 95% of public services are provided online only and the answer is received electronically from the service-providing institution, electronically sealed or signed;
The data refer to the period January 2022 – December 2022, as following:.
No of e-sealed documents downloaded in January - December 2022: 6,599,243 
No of registered users in January - December 2022:   428,543 
Actually, there are more than 2,800,000 registered users on the e-Albania portal.
No of e-services uses in January - December 2022: 15,847,288        
No of e-signed documents exchanged between public administration employees on behalf of the citizens during January – December 2022 (via the e-Signed Documents Circulation System, as explained in the previous report): 48,681
The total number of downloaded e-sealed documents since its implementation in September 2017 until December 2022 is over 23 million.";Change;No;"Regarding the OGP (Open Government Partnership)  Action Plan: Increasing the number of data sets accessible through the open data portal strengthens
governance and trust in public institutions, reinforces governments’ obligation to respect the
rule of law, and provides a transparent and accountable foundation to improve decisionmaking and enhance the provision of public services.
Ensuring that the data on the Open Data Portal meets the globally agreed norms for publishing
open data, as follows:
1. open by default
2. timely and comprehensive
3. accessible and usable
4. comparable and interoperable
5. facilitates citizen engagement
will help build a culture of openness within the public administration, reinforce government’s
respect for the rule of law and consequently help build citizen trust in public institutions.
This commitment will make available data and develop new ways of sharing government data
(milestone 1) that had not been previously available to the public, thus increasing public
institutions accountability to citizens. This increased transparency of government decisions and
processes can help to promote accountability and enhance public debate. As Open Data Portals
help to improve the flow of information within and across public institutions the expansion of
open data can also facilitate improve coordination and decision making within and across
public institutions that will further promote public accountability and trust.
To ensure the portal’s expansion meets the objectives of the commitment, a readiness
assessment will be performed (milestone 2), and awareness campaigns (milestone 1) will be
designed together with the institutions providing open data during 2023 and implemented, so
as to familiarize and educate citizens and other stakeholders on the full range of applications of
open data and explain how the portal can be used by them for various applications.              Results:   Better usage of the data by interested stakeholders
To increase the usability of the Open Data portal, various activities shall be encouraged, such as
the:
 1. The involvement of academy and researchers
 2. Trainings delivered to public administration
 3. The involvement of start-ups and businesses
 4. Etc"
P7;"Does the national strategy/policy foster the discoverability of the aforementioned types of data from your country on data.europa.eu?

For Explanation:
* If yes, please briefly describe how.";no;;Confirm;;
P8;"Does the national strategy/policy outline measures to support the reuse of open data by the public sector?

For Explanation:
* If yes, please briefly describe the measures.";no;Open data is not used by the public sector.;Change;Yes;"Law no. 33/2022 ""On open data and reuse of public sector information"", defines the rules and procedures for the right to reuse open data for profit or non-profit purposes of documents held by public sector bodies or public enterprises in Republic of Albania."
P9;"Does the national strategy/policy outline measures to support the reuse of open data by the private sector?

For Explanation:
* If yes, please briefly describe the measures.";yes;"It aims to promote the reuse of data by businesses, startups, private academia etc.

The Open Data portal will increase interested parties' access to the ability to download data.
Better usage of the data by interested stakeholders
To increase the usability of the Open Data portal, various activities shall be encouraged, such as
the:
 1. The involvement of academy and researchers
 2. Trainings delivered to public administration
 3. The involvement of start-ups and businesses";Confirm;;
P10-a;"Does the national strategy/policy mandate carrying out and maintaining a data inventory by public bodies, whether at national or local level?

For Explanation:
* If yes, please briefly specify.";yes;"The data inventory is kept by each public body in accordance with the Law 10325, dated 23,09,2010 ""On state databases""";Confirm;;
